customer_id,name,email,signup_date,city,country
1,Customer_1,customer1@mail.com,2023-08-26,Berlin,Germany
2,Customer_2,customer2@mail.com,2023-05-03,Mumbai,Australia
3,Customer_3,customer3@mail.com,2023-03-15,London,India
4,Customer_4,customer4@mail.com,2023-11-03,Sydney,India
5,Customer_5,customer5@mail.com,2023-09-21,Delhi,Germany
6,Customer_6,customer6@mail.com,2022-11-29,London,Germany
7,Customer_7,customer7@mail.com,2023-03-12,Sydney,USA
8,Customer_8,customer8@mail.com,2023-09-29,London,India
9,Customer_9,customer9@mail.com,2023-02-24,Berlin,Australia
10,Customer_10,customer10@mail.com,2023-01-01,Mumbai,Australia
11,Customer_11,customer11@mail.com,2022-12-14,Delhi,USA
12,Customer_12,customer12@mail.com,2023-06-16,London,Germany
13,Customer_13,customer13@mail.com,2023-03-22,Bangalore,India
14,Customer_14,customer14@mail.com,2023-07-21,Mumbai,USA
15,Customer_15,customer15@mail.com,2022-12-31,Berlin,Australia
16,Customer_16,customer16@mail.com,2023-11-14,Sydney,Germany
17,Customer_17,customer17@mail.com,2023-06-01,Toronto,USA
18,Customer_18,customer18@mail.com,2023-09-06,Toronto,India
19,Customer_19,customer19@mail.com,2023-06-14,Sydney,Germany
20,Customer_20,customer20@mail.com,2023-11-05,New York,Canada
21,Customer_21,customer21@mail.com,2022-12-28,Sydney,India
22,Customer_22,customer22@mail.com,2022-12-16,Delhi,Australia
23,Customer_23,customer23@mail.com,2023-11-08,Berlin,Australia
24,Customer_24,customer24@mail.com,2023-09-30,Toronto,India
25,Customer_25,customer25@mail.com,2023-08-08,Berlin,India
26,Customer_26,customer26@mail.com,2023-11-04,Mumbai,Germany
27,Customer_27,customer27@mail.com,2023-03-19,Bangalore,UK
28,Customer_28,customer28@mail.com,2023-07-08,Delhi,USA
29,Customer_29,customer29@mail.com,2023-01-29,Delhi,Germany
30,Customer_30,customer30@mail.com,2023-10-06,London,Canada
31,Customer_31,customer31@mail.com,2023-08-12,Toronto,Germany
32,Customer_32,customer32@mail.com,2023-01-04,Toronto,UK
33,Customer_33,customer33@mail.com,2023-05-01,London,Australia
34,Customer_34,customer34@mail.com,2023-07-30,Mumbai,Germany
35,Customer_35,customer35@mail.com,2023-04-24,Toronto,India
36,Customer_36,customer36@mail.com,2023-10-13,London,Australia
37,Customer_37,customer37@mail.com,2023-01-05,London,Canada
38,Customer_38,customer38@mail.com,2023-08-10,Berlin,USA
39,Customer_39,customer39@mail.com,2023-09-16,Delhi,India
40,Customer_40,customer40@mail.com,2023-09-25,Sydney,Australia
